## This file was originally clean_edetecttb_11oct_withregion.csv. 
## Any edits are listed below. 
## Alterations: 
## Settlment -> Settlement
sex,age_grps,year,n_screened,country,visa_type,region
Male,40-44,2016,0,Afghanistan,UK Family Reunification,Other_Asia
Male,40-44,2017,2,Afghanistan,UK Family Reunification,Other_Asia
Male,40-44,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Male,45-49,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,45-49,2015,1,Afghanistan,UK Family Reunification,Other_Asia
Male,45-49,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,45-49,2017,2,Afghanistan,UK Family Reunification,Other_Asia
Male,45-49,2018,1,Afghanistan,UK Family Reunification,Other_Asia
Male,50-54,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,50-54,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,50-54,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,50-54,2017,0,Afghanistan,UK Family Reunification,Other_Asia
Male,50-54,2018,3,Afghanistan,UK Family Reunification,Other_Asia
Male,55-59,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,55-59,2015,1,Afghanistan,UK Family Reunification,Other_Asia
Male,55-59,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,55-59,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Male,55-59,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Male,60-64,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Male,60-64,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,60-64,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,60-64,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Male,60-64,2018,2,Afghanistan,UK Family Reunification,Other_Asia
Male,65-69,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,65-69,2015,1,Afghanistan,UK Family Reunification,Other_Asia
Male,65-69,2016,4,Afghanistan,UK Family Reunification,Other_Asia
Male,65-69,2017,2,Afghanistan,UK Family Reunification,Other_Asia
Male,65-69,2018,2,Afghanistan,UK Family Reunification,Other_Asia
Male,70-74,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,70-74,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,70-74,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,70-74,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Male,70-74,2018,2,Afghanistan,UK Family Reunification,Other_Asia
Male,75-79,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,75-79,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,75-79,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Male,75-79,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Male,75-79,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Male,80-84,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,80-84,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,80-84,2016,2,Afghanistan,UK Family Reunification,Other_Asia
Male,80-84,2017,0,Afghanistan,UK Family Reunification,Other_Asia
Male,80-84,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Male,85-89,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Male,85-89,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Male,85-89,2016,0,Afghanistan,UK Family Reunification,Other_Asia
Male,85-89,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Male,85-89,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Female,0-4,2014,3,Afghanistan,UK Family Reunification,Other_Asia
Female,0-4,2015,13,Afghanistan,UK Family Reunification,Other_Asia
Female,0-4,2016,19,Afghanistan,UK Family Reunification,Other_Asia
Female,0-4,2017,41,Afghanistan,UK Family Reunification,Other_Asia
Female,0-4,2018,50,Afghanistan,UK Family Reunification,Other_Asia
Female,5-9,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,5-9,2015,8,Afghanistan,UK Family Reunification,Other_Asia
Female,5-9,2016,11,Afghanistan,UK Family Reunification,Other_Asia
Female,5-9,2017,28,Afghanistan,UK Family Reunification,Other_Asia
Female,5-9,2018,43,Afghanistan,UK Family Reunification,Other_Asia
Female,10-14,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,10-14,2015,6,Afghanistan,UK Family Reunification,Other_Asia
Female,10-14,2016,11,Afghanistan,UK Family Reunification,Other_Asia
Female,10-14,2017,35,Afghanistan,UK Family Reunification,Other_Asia
Female,10-14,2018,25,Afghanistan,UK Family Reunification,Other_Asia
Female,15-19,2014,6,Afghanistan,UK Family Reunification,Other_Asia
Female,15-19,2015,14,Afghanistan,UK Family Reunification,Other_Asia
Female,15-19,2016,36,Afghanistan,UK Family Reunification,Other_Asia
Female,15-19,2017,34,Afghanistan,UK Family Reunification,Other_Asia
Female,15-19,2018,36,Afghanistan,UK Family Reunification,Other_Asia
Female,20-24,2014,8,Afghanistan,UK Family Reunification,Other_Asia
Female,20-24,2015,82,Afghanistan,UK Family Reunification,Other_Asia
Female,20-24,2016,140,Afghanistan,UK Family Reunification,Other_Asia
Female,20-24,2017,235,Afghanistan,UK Family Reunification,Other_Asia
Female,20-24,2018,217,Afghanistan,UK Family Reunification,Other_Asia
Female,25-29,2014,9,Afghanistan,UK Family Reunification,Other_Asia
Female,25-29,2015,43,Afghanistan,UK Family Reunification,Other_Asia
Female,25-29,2016,110,Afghanistan,UK Family Reunification,Other_Asia
Female,25-29,2017,165,Afghanistan,UK Family Reunification,Other_Asia
Female,25-29,2018,223,Afghanistan,UK Family Reunification,Other_Asia
Female,30-34,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,30-34,2015,16,Afghanistan,UK Family Reunification,Other_Asia
Female,30-34,2016,22,Afghanistan,UK Family Reunification,Other_Asia
Female,30-34,2017,50,Afghanistan,UK Family Reunification,Other_Asia
Female,30-34,2018,86,Afghanistan,UK Family Reunification,Other_Asia
Female,35-39,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,35-39,2015,5,Afghanistan,UK Family Reunification,Other_Asia
Female,35-39,2016,17,Afghanistan,UK Family Reunification,Other_Asia
Female,35-39,2017,29,Afghanistan,UK Family Reunification,Other_Asia
Female,35-39,2018,22,Afghanistan,UK Family Reunification,Other_Asia
Female,40-44,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,40-44,2015,3,Afghanistan,UK Family Reunification,Other_Asia
Female,40-44,2016,4,Afghanistan,UK Family Reunification,Other_Asia
Female,40-44,2017,12,Afghanistan,UK Family Reunification,Other_Asia
Female,40-44,2018,16,Afghanistan,UK Family Reunification,Other_Asia
Female,45-49,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,45-49,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Female,45-49,2016,2,Afghanistan,UK Family Reunification,Other_Asia
Female,45-49,2017,5,Afghanistan,UK Family Reunification,Other_Asia
Female,45-49,2018,3,Afghanistan,UK Family Reunification,Other_Asia
Female,50-54,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,50-54,2015,2,Afghanistan,UK Family Reunification,Other_Asia
Female,50-54,2016,3,Afghanistan,UK Family Reunification,Other_Asia
Female,50-54,2017,2,Afghanistan,UK Family Reunification,Other_Asia
Female,50-54,2018,2,Afghanistan,UK Family Reunification,Other_Asia
Female,55-59,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,55-59,2015,1,Afghanistan,UK Family Reunification,Other_Asia
Female,55-59,2016,4,Afghanistan,UK Family Reunification,Other_Asia
Female,55-59,2017,6,Afghanistan,UK Family Reunification,Other_Asia
Female,55-59,2018,2,Afghanistan,UK Family Reunification,Other_Asia
Female,60-64,2014,3,Afghanistan,UK Family Reunification,Other_Asia
Female,60-64,2015,3,Afghanistan,UK Family Reunification,Other_Asia
Female,60-64,2016,4,Afghanistan,UK Family Reunification,Other_Asia
Female,60-64,2017,3,Afghanistan,UK Family Reunification,Other_Asia
Female,60-64,2018,4,Afghanistan,UK Family Reunification,Other_Asia
Female,65-69,2014,1,Afghanistan,UK Family Reunification,Other_Asia
Female,65-69,2015,3,Afghanistan,UK Family Reunification,Other_Asia
Female,65-69,2016,3,Afghanistan,UK Family Reunification,Other_Asia
Female,65-69,2017,5,Afghanistan,UK Family Reunification,Other_Asia
Female,65-69,2018,7,Afghanistan,UK Family Reunification,Other_Asia
Female,70-74,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,70-74,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Female,70-74,2016,2,Afghanistan,UK Family Reunification,Other_Asia
Female,70-74,2017,5,Afghanistan,UK Family Reunification,Other_Asia
Female,70-74,2018,4,Afghanistan,UK Family Reunification,Other_Asia
Female,75-79,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,75-79,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Female,75-79,2016,1,Afghanistan,UK Family Reunification,Other_Asia
Female,75-79,2017,3,Afghanistan,UK Family Reunification,Other_Asia
Female,75-79,2018,4,Afghanistan,UK Family Reunification,Other_Asia
Female,80-84,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,80-84,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Female,80-84,2016,0,Afghanistan,UK Family Reunification,Other_Asia
Female,80-84,2017,1,Afghanistan,UK Family Reunification,Other_Asia
Female,80-84,2018,0,Afghanistan,UK Family Reunification,Other_Asia
Female,85-89,2014,0,Afghanistan,UK Family Reunification,Other_Asia
Female,85-89,2015,0,Afghanistan,UK Family Reunification,Other_Asia
Female,85-89,2016,0,Afghanistan,UK Family Reunification,Other_Asia
Female,85-89,2017,0,Afghanistan,UK Family Reunification,Other_Asia
Female,85-89,2018,1,Afghanistan,UK Family Reunification,Other_Asia
Male,0-4,2014,0,Afghanistan,UK Work,Other_Asia
Male,0-4,2015,0,Afghanistan,UK Work,Other_Asia
Male,0-4,2016,1,Afghanistan,UK Work,Other_Asia
Male,0-4,2017,1,Afghanistan,UK Work,Other_Asia
Male,0-4,2018,0,Afghanistan,UK Work,Other_Asia
Male,5-9,2014,0,Afghanistan,UK Work,Other_Asia
Male,5-9,2015,0,Afghanistan,UK Work,Other_Asia
Male,5-9,2016,1,Afghanistan,UK Work,Other_Asia
Male,5-9,2017,2,Afghanistan,UK Work,Other_Asia
Male,5-9,2018,1,Afghanistan,UK Work,Other_Asia
Male,10-14,2014,0,Afghanistan,UK Work,Other_Asia
Male,10-14,2015,0,Afghanistan,UK Work,Other_Asia
Male,10-14,2016,2,Afghanistan,UK Work,Other_Asia
Male,10-14,2017,1,Afghanistan,UK Work,Other_Asia
Male,10-14,2018,0,Afghanistan,UK Work,Other_Asia
Male,15-19,2014,0,Afghanistan,UK Work,Other_Asia
Male,15-19,2015,0,Afghanistan,UK Work,Other_Asia
Male,15-19,2016,0,Afghanistan,UK Work,Other_Asia
Male,15-19,2017,5,Afghanistan,UK Work,Other_Asia
Male,15-19,2018,0,Afghanistan,UK Work,Other_Asia
Male,20-24,2014,2,Afghanistan,UK Work,Other_Asia
Male,20-24,2015,1,Afghanistan,UK Work,Other_Asia
Male,20-24,2016,0,Afghanistan,UK Work,Other_Asia
Male,20-24,2017,0,Afghanistan,UK Work,Other_Asia
Male,20-24,2018,0,Afghanistan,UK Work,Other_Asia
Male,25-29,2014,0,Afghanistan,UK Work,Other_Asia
Male,25-29,2015,0,Afghanistan,UK Work,Other_Asia
Male,25-29,2016,0,Afghanistan,UK Work,Other_Asia
Male,25-29,2017,1,Afghanistan,UK Work,Other_Asia
Male,25-29,2018,1,Afghanistan,UK Work,Other_Asia
Male,30-34,2014,0,Afghanistan,UK Work,Other_Asia
Male,30-34,2015,1,Afghanistan,UK Work,Other_Asia
Male,30-34,2016,0,Afghanistan,UK Work,Other_Asia
Male,30-34,2017,1,Afghanistan,UK Work,Other_Asia
Male,30-34,2018,2,Afghanistan,UK Work,Other_Asia
Male,35-39,2014,0,Afghanistan,UK Work,Other_Asia
Male,35-39,2015,0,Afghanistan,UK Work,Other_Asia
Male,35-39,2016,1,Afghanistan,UK Work,Other_Asia
Male,35-39,2017,1,Afghanistan,UK Work,Other_Asia
Male,35-39,2018,0,Afghanistan,UK Work,Other_Asia
Male,40-44,2014,0,Afghanistan,UK Work,Other_Asia
Male,40-44,2015,1,Afghanistan,UK Work,Other_Asia
Male,40-44,2016,1,Afghanistan,UK Work,Other_Asia
Male,40-44,2017,1,Afghanistan,UK Work,Other_Asia
Male,40-44,2018,0,Afghanistan,UK Work,Other_Asia
Male,45-49,2014,0,Afghanistan,UK Work,Other_Asia
Male,45-49,2015,0,Afghanistan,UK Work,Other_Asia
Male,45-49,2016,1,Afghanistan,UK Work,Other_Asia
Male,45-49,2017,0,Afghanistan,UK Work,Other_Asia
Male,45-49,2018,0,Afghanistan,UK Work,Other_Asia
Male,50-54,2014,0,Afghanistan,UK Work,Other_Asia
Male,50-54,2015,1,Afghanistan,UK Work,Other_Asia
Male,50-54,2016,0,Afghanistan,UK Work,Other_Asia
Male,50-54,2017,0,Afghanistan,UK Work,Other_Asia
Male,50-54,2018,0,Afghanistan,UK Work,Other_Asia
Female,0-4,2015,0,Afghanistan,UK Work,Other_Asia
Female,0-4,2016,1,Afghanistan,UK Work,Other_Asia
Female,0-4,2017,0,Afghanistan,UK Work,Other_Asia
Female,0-4,2018,0,Afghanistan,UK Work,Other_Asia
Female,5-9,2015,0,Afghanistan,UK Work,Other_Asia
Female,5-9,2016,1,Afghanistan,UK Work,Other_Asia
Female,5-9,2017,1,Afghanistan,UK Work,Other_Asia
Female,5-9,2018,0,Afghanistan,UK Work,Other_Asia
Female,10-14,2015,0,Afghanistan,UK Work,Other_Asia
Female,10-14,2016,0,Afghanistan,UK Work,Other_Asia
Female,10-14,2017,2,Afghanistan,UK Work,Other_Asia
Female,10-14,2018,1,Afghanistan,UK Work,Other_Asia
Female,25-29,2015,0,Afghanistan,UK Work,Other_Asia
Female,25-29,2016,1,Afghanistan,UK Work,Other_Asia
Female,25-29,2017,0,Afghanistan,UK Work,Other_Asia
Female,25-29,2018,0,Afghanistan,UK Work,Other_Asia
Female,30-34,2015,0,Afghanistan,UK Work,Other_Asia
Female,30-34,2016,0,Afghanistan,UK Work,Other_Asia
Female,30-34,2017,1,Afghanistan,UK Work,Other_Asia
Female,30-34,2018,1,Afghanistan,UK Work,Other_Asia
Female,35-39,2015,0,Afghanistan,UK Work,Other_Asia
Female,35-39,2016,1,Afghanistan,UK Work,Other_Asia
Female,35-39,2017,3,Afghanistan,UK Work,Other_Asia
Female,35-39,2018,0,Afghanistan,UK Work,Other_Asia
Female,45-49,2015,1,Afghanistan,UK Work,Other_Asia
Female,45-49,2016,0,Afghanistan,UK Work,Other_Asia
Female,45-49,2017,1,Afghanistan,UK Work,Other_Asia
Female,45-49,2018,0,Afghanistan,UK Work,Other_Asia
Male,0-4,2013,0,Afghanistan,UK Student,Other_Asia
Male,0-4,2014,0,Afghanistan,UK Student,Other_Asia
Male,0-4,2015,0,Afghanistan,UK Student,Other_Asia
Male,0-4,2016,0,Afghanistan,UK Student,Other_Asia
Male,0-4,2017,1,Afghanistan,UK Student,Other_Asia
Male,0-4,2018,0,Afghanistan,UK Student,Other_Asia
Male,5-9,2013,0,Afghanistan,UK Student,Other_Asia
Male,5-9,2014,0,Afghanistan,UK Student,Other_Asia
Male,5-9,2015,1,Afghanistan,UK Student,Other_Asia
Male,5-9,2016,0,Afghanistan,UK Student,Other_Asia
Male,5-9,2017,1,Afghanistan,UK Student,Other_Asia
Male,5-9,2018,0,Afghanistan,UK Student,Other_Asia
Male,10-14,2013,0,Afghanistan,UK Student,Other_Asia
Male,10-14,2014,1,Afghanistan,UK Student,Other_Asia
Male,10-14,2015,1,Afghanistan,UK Student,Other_Asia
Male,10-14,2016,0,Afghanistan,UK Student,Other_Asia
Male,10-14,2017,1,Afghanistan,UK Student,Other_Asia
Male,10-14,2018,0,Afghanistan,UK Student,Other_Asia
Male,15-19,2013,0,Afghanistan,UK Student,Other_Asia
Male,15-19,2014,1,Afghanistan,UK Student,Other_Asia
Male,15-19,2015,3,Afghanistan,UK Student,Other_Asia
Male,15-19,2016,2,Afghanistan,UK Student,Other_Asia
Male,15-19,2017,1,Afghanistan,UK Student,Other_Asia
Male,15-19,2018,4,Afghanistan,UK Student,Other_Asia
Male,20-24,2013,1,Afghanistan,UK Student,Other_Asia
Male,20-24,2014,3,Afghanistan,UK Student,Other_Asia
Male,20-24,2015,8,Afghanistan,UK Student,Other_Asia
Male,20-24,2016,10,Afghanistan,UK Student,Other_Asia
Male,20-24,2017,2,Afghanistan,UK Student,Other_Asia
Male,20-24,2018,6,Afghanistan,UK Student,Other_Asia
Male,25-29,2013,0,Afghanistan,UK Student,Other_Asia
Male,25-29,2014,5,Afghanistan,UK Student,Other_Asia
Male,25-29,2015,13,Afghanistan,UK Student,Other_Asia
Male,25-29,2016,11,Afghanistan,UK Student,Other_Asia
Male,25-29,2017,15,Afghanistan,UK Student,Other_Asia
Male,25-29,2018,16,Afghanistan,UK Student,Other_Asia
Male,30-34,2013,0,Afghanistan,UK Student,Other_Asia
Male,30-34,2014,3,Afghanistan,UK Student,Other_Asia
Male,30-34,2015,9,Afghanistan,UK Student,Other_Asia
Male,30-34,2016,9,Afghanistan,UK Student,Other_Asia
Male,30-34,2017,16,Afghanistan,UK Student,Other_Asia
Male,30-34,2018,11,Afghanistan,UK Student,Other_Asia
Male,35-39,2013,0,Afghanistan,UK Student,Other_Asia
Male,35-39,2014,0,Afghanistan,UK Student,Other_Asia
Male,35-39,2015,3,Afghanistan,UK Student,Other_Asia
Male,35-39,2016,1,Afghanistan,UK Student,Other_Asia
Male,35-39,2017,1,Afghanistan,UK Student,Other_Asia
Male,35-39,2018,4,Afghanistan,UK Student,Other_Asia
Male,40-44,2013,0,Afghanistan,UK Student,Other_Asia
Male,40-44,2014,2,Afghanistan,UK Student,Other_Asia
Male,40-44,2015,1,Afghanistan,UK Student,Other_Asia
Male,40-44,2016,1,Afghanistan,UK Student,Other_Asia
Male,40-44,2017,0,Afghanistan,UK Student,Other_Asia
Male,40-44,2018,0,Afghanistan,UK Student,Other_Asia
Female,0-4,2014,0,Afghanistan,UK Student,Other_Asia
Female,0-4,2015,0,Afghanistan,UK Student,Other_Asia
Female,0-4,2016,1,Afghanistan,UK Student,Other_Asia
Female,0-4,2017,0,Afghanistan,UK Student,Other_Asia
Female,0-4,2018,0,Afghanistan,UK Student,Other_Asia
Female,5-9,2014,0,Afghanistan,UK Student,Other_Asia
Female,5-9,2015,0,Afghanistan,UK Student,Other_Asia
Female,5-9,2016,1,Afghanistan,UK Student,Other_Asia
Female,5-9,2017,1,Afghanistan,UK Student,Other_Asia
Female,5-9,2018,1,Afghanistan,UK Student,Other_Asia
Female,15-19,2014,0,Afghanistan,UK Student,Other_Asia
Female,15-19,2015,1,Afghanistan,UK Student,Other_Asia
Female,15-19,2016,0,Afghanistan,UK Student,Other_Asia
Female,15-19,2017,0,Afghanistan,UK Student,Other_Asia
Female,15-19,2018,0,Afghanistan,UK Student,Other_Asia
Female,20-24,2014,3,Afghanistan,UK Student,Other_Asia
Female,20-24,2015,2,Afghanistan,UK Student,Other_Asia
Female,20-24,2016,3,Afghanistan,UK Student,Other_Asia
Female,20-24,2017,4,Afghanistan,UK Student,Other_Asia
Female,20-24,2018,0,Afghanistan,UK Student,Other_Asia
Female,25-29,2014,0,Afghanistan,UK Student,Other_Asia
Female,25-29,2015,7,Afghanistan,UK Student,Other_Asia
Female,25-29,2016,3,Afghanistan,UK Student,Other_Asia
Female,25-29,2017,7,Afghanistan,UK Student,Other_Asia
Female,25-29,2018,8,Afghanistan,UK Student,Other_Asia
Female,30-34,2014,0,Afghanistan,UK Student,Other_Asia
Female,30-34,2015,2,Afghanistan,UK Student,Other_Asia
Female,30-34,2016,1,Afghanistan,UK Student,Other_Asia
Female,30-34,2017,1,Afghanistan,UK Student,Other_Asia
Female,30-34,2018,4,Afghanistan,UK Student,Other_Asia
Female,35-39,2014,0,Afghanistan,UK Student,Other_Asia
Female,35-39,2015,0,Afghanistan,UK Student,Other_Asia
Female,35-39,2016,1,Afghanistan,UK Student,Other_Asia
Female,35-39,2017,0,Afghanistan,UK Student,Other_Asia
Female,35-39,2018,0,Afghanistan,UK Student,Other_Asia
Female,40-44,2014,1,Afghanistan,UK Student,Other_Asia
Female,40-44,2015,0,Afghanistan,UK Student,Other_Asia
Female,40-44,2016,1,Afghanistan,UK Student,Other_Asia
Female,40-44,2017,0,Afghanistan,UK Student,Other_Asia
Female,40-44,2018,0,Afghanistan,UK Student,Other_Asia
Female,55-59,2014,0,Afghanistan,UK Student,Other_Asia
Female,55-59,2015,0,Afghanistan,UK Student,Other_Asia
Female,55-59,2016,0,Afghanistan,UK Student,Other_Asia
Female,55-59,2017,1,Afghanistan,UK Student,Other_Asia
Female,55-59,2018,0,Afghanistan,UK Student,Other_Asia
Male,0-4,2014,1,Afghanistan,UK Settlement,Other_Asia
Male,0-4,2015,9,Afghanistan,UK Settlement,Other_Asia
Male,0-4,2016,5,Afghanistan,UK Settlement,Other_Asia
Male,0-4,2017,1,Afghanistan,UK Settlement,Other_Asia
Male,0-4,2018,0,Afghanistan,UK Settlement,Other_Asia
Male,5-9,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,5-9,2015,4,Afghanistan,UK Settlement,Other_Asia
Male,5-9,2016,8,Afghanistan,UK Settlement,Other_Asia
Male,5-9,2017,0,Afghanistan,UK Settlement,Other_Asia
Male,5-9,2018,0,Afghanistan,UK Settlement,Other_Asia
Male,10-14,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,10-14,2015,4,Afghanistan,UK Settlement,Other_Asia
Male,10-14,2016,1,Afghanistan,UK Settlement,Other_Asia
Male,10-14,2017,1,Afghanistan,UK Settlement,Other_Asia
Male,10-14,2018,2,Afghanistan,UK Settlement,Other_Asia
Male,15-19,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,15-19,2015,3,Afghanistan,UK Settlement,Other_Asia
Male,15-19,2016,5,Afghanistan,UK Settlement,Other_Asia
Male,15-19,2017,1,Afghanistan,UK Settlement,Other_Asia
Male,15-19,2018,4,Afghanistan,UK Settlement,Other_Asia
Male,20-24,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,20-24,2015,2,Afghanistan,UK Settlement,Other_Asia
Male,20-24,2016,7,Afghanistan,UK Settlement,Other_Asia
Male,20-24,2017,4,Afghanistan,UK Settlement,Other_Asia
Male,20-24,2018,2,Afghanistan,UK Settlement,Other_Asia
Male,25-29,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,25-29,2015,6,Afghanistan,UK Settlement,Other_Asia
Male,25-29,2016,9,Afghanistan,UK Settlement,Other_Asia
Male,25-29,2017,7,Afghanistan,UK Settlement,Other_Asia
Male,25-29,2018,5,Afghanistan,UK Settlement,Other_Asia
Male,30-34,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,30-34,2015,4,Afghanistan,UK Settlement,Other_Asia
Male,30-34,2016,1,Afghanistan,UK Settlement,Other_Asia
Male,30-34,2017,10,Afghanistan,UK Settlement,Other_Asia
Male,30-34,2018,2,Afghanistan,UK Settlement,Other_Asia
Male,35-39,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,35-39,2015,1,Afghanistan,UK Settlement,Other_Asia
Male,35-39,2016,0,Afghanistan,UK Settlement,Other_Asia
Male,35-39,2017,2,Afghanistan,UK Settlement,Other_Asia
Male,35-39,2018,0,Afghanistan,UK Settlement,Other_Asia
Male,40-44,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,40-44,2015,0,Afghanistan,UK Settlement,Other_Asia
Male,40-44,2016,0,Afghanistan,UK Settlement,Other_Asia
Male,40-44,2017,0,Afghanistan,UK Settlement,Other_Asia
Male,40-44,2018,1,Afghanistan,UK Settlement,Other_Asia
Male,55-59,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,55-59,2015,0,Afghanistan,UK Settlement,Other_Asia
Male,55-59,2016,1,Afghanistan,UK Settlement,Other_Asia
Male,55-59,2017,0,Afghanistan,UK Settlement,Other_Asia
Male,55-59,2018,0,Afghanistan,UK Settlement,Other_Asia
Male,75-79,2014,0,Afghanistan,UK Settlement,Other_Asia
Male,75-79,2015,0,Afghanistan,UK Settlement,Other_Asia
Male,75-79,2016,0,Afghanistan,UK Settlement,Other_Asia
Male,75-79,2017,1,Afghanistan,UK Settlement,Other_Asia
Male,75-79,2018,0,Afghanistan,UK Settlement,Other_Asia
Female,0-4,2015,6,Afghanistan,UK Settlement,Other_Asia
Female,0-4,2016,7,Afghanistan,UK Settlement,Other_Asia
